Theme,Sub Theme,Feature Name,Co-ordinates
Mixed Use,Bar,"Ground, 59-63 Bourke Street, Melbourne, 3000","-37.8119532178998, 144.97148245909204"
Mixed Use,Multi-use,"Basement, 387 Flinders Lane, Melbourne, 3000","-37.818170221925946, 144.9612683910999"
Mixed Use,Theatre,"Level 1, 520-522 Flinders Street, Melbourne, 3000","-37.820357932687585, 144.95696625309793"
Mixed Use,Nightclub,"Basement,Part Ground & Part Level 8, 180 Russell Street, Melbourne, 3000","-37.812052247519325, 144.96793672846434"
Mixed Use,,"15 Dukes Walk, South Wharf, 3006","-37.82438903938934, 144.95063258929684"
Mixed Use,Bar,"Gnd & Flr1, 427 Little Collins Street, Melbourne, 3000","-37.81619295477831, 144.960463460251"
Mixed Use,Nightclub,"Ground, 120 King Street, Melbourne, 3000","-37.81726434461992, 144.95638356625756"
Mixed Use,Bar,"Level 1, 37-41 Little Bourke Street, Melbourne, 3000","-37.810747836953425, 144.97146559576274"
Mixed Use,Multi-use,"251 Faraday Street, Carlton, 3053","-37.79861750965004, 144.9654893886899"
Mixed Use,Performance space,"156 Collins Street, Melbourne, 3000","-37.8148247935781, 144.96831819904696"
Mixed Use,Amusement/Theme Venue,"300 Epsom Road, Flemington, 3032","-37.78040735195738, 144.91437999700486"
Mixed Use,Bar,"Level 1-2, 239 Lonsdale Street, Melbourne, 3000","-37.811527225540964, 144.96535317015017"
Mixed Use,Performance space,"300 Dudley Street, West Melbourne, 3003","-37.811437769852866, 144.9461726133059"
Mixed Use,,"Basement, 67 Hardware Lane, Melbourne, 3000","-37.81325334536212, 144.9610159338816"
Mixed Use,Bar,"Ground, 106 Little Lonsdale Street, Melbourne, 3000","-37.809251212232525, 144.96862686025293"
Mixed Use,Multi-use,"Level 1, 15 Queen Street, Melbourne, 3000","-37.818408350668456, 144.96207799460493"
Mixed Use,Performance space,"65-159 Victoria Street, Melbourne, 3000","-37.806188527484565, 144.9575348670326"
Mixed Use,Nightclub,"Vault 7-8, 375-377 Flinders Street, Melbourne, 3000","-37.81914827560788, 144.96232307486835"
Mixed Use,Bar,"Unit S13, Level 6, 252 Swanston Street, Melbourne, 3000","-37.81204087370973, 144.96505253454222"
Mixed Use,,"Suite 12, Basement, 108 Bourke Street, Melbourne, 3000","-37.8121190907495, 144.9699347659403"
Mixed Use,Nightclub,"Basement, 85 Queen Street, Melbourne, 3000","-37.816506994449085, 144.96120225838388"
Mixed Use,Theatre,"191-197 Collins Street, Melbourne, 3000","-37.81534585273267, 144.9675380003948"
Mixed Use,Nightclub,"Shop 52, Level 2, 8 Whiteman Street, Southbank, 3006","-37.82381122217111, 144.95741449297574"
Mixed Use,Venue,"238 Victoria Street, Melbourne, 3000","-37.80601960940114, 144.95855233201263"
Mixed Use,Venue,"110 William Street, Melbourne, 3000","-37.816671478507224, 144.95884607575877"
Mixed Use,Bar,"12 Bourke Street, Melbourne, 3000","-37.8113496150961, 144.97256750232202"
Mixed Use,,"Level 1, 188 Collins Street, Melbourne, 3000","-37.81509905764948, 144.96746914835032"
Mixed Use,Theatre,"240 Exhibition Street, Melbourne, 3000","-37.81021736084806, 144.96989592744947"
Mixed Use,Bar,"Unit 1, LwrGround, 131 Queen Street, Melbourne, 3000","-37.815538920511045, 144.96075342315893"
Mixed Use,Bar,"21-25 Hardware Lane, Melbourne, 3000","-37.81406901492111, 144.96139208309128"
Mixed Use,Performance space,"230 Grattan Street, Parkville, 3010","-37.799910206479105, 144.9604734702218"
Mixed Use,Nightclub,"Basement, 105 Queen Street, Melbourne, 3000","-37.81607553369085, 144.96100472386703"
Mixed Use,Bar,"4A Centre Place, Melbourne, 3000","-37.81675634145909, 144.96562102792308"
Mixed Use,Bar,"Ground, 54 Hardware Lane, Melbourne, 3000","-37.813473669206125, 144.96119469998956"
Mixed Use,,"Level 15, 123 Queen Street, Melbourne, 3000","-37.8156945346344, 144.960819979804"
Mixed Use,Nightclub,"8 Whiteman Street, Southbank, 3006","-37.82242997287491, 144.96001590680228"
Mixed Use,Bar,"Casino, 8 Whiteman Street, Southbank, 3006","-37.82371881012607, 144.95746455234837"
Mixed Use,Library,"Pt Gnd ,Pt Mezz & Lvl 1, 253-265 Flinders Lane, Melbourne, 3000","-37.816868507007, 144.96581223646334"
Mixed Use,Nightclub,"Ground, 16-20 Corrs Lane, Melbourne, 3000","-37.81115429522088, 144.96821759637908"
Mixed Use,Bar,"41 Bourke Street, Melbourne, 3000","-37.81180924479099, 144.9719804643413"
Mixed Use,Bar,"Shop 9, 800 Bourke Street, Docklands, 3008","-37.81926761043375, 144.94526954775787"
Mixed Use,Performance space,"2 Swanston Street, Melbourne, 3000","-37.81839877968878, 144.96896594005398"
Mixed Use,Bar,"1-23 City Road, Southbank, 3006","-37.82122194809231, 144.9675570806361"
Mixed Use,Library,"122 George Street, East Melbourne, 3002","-37.81527551487422, 144.9863774281896"
Mixed Use,Bar,"11A Highlander Lane, Melbourne, 3000","-37.81969180587922, 144.9580106038663"
Mixed Use,,"Rear, 359 Lonsdale Street, Melbourne, 3000","-37.81255176993681, 144.9618356969375"
Mixed Use,Venue,"68 Little Collins Street, Melbourne, 3000","-37.81290578487124, 144.97136869242834"
Mixed Use,Bar,"62 Little Collins Street, Melbourne, 3000","-37.812865395242035, 144.97150999418588"
Mixed Use,Amusement/Theme Venue,"Shop 5, 101 Waterfront Way, Docklands, 3008","-37.811708257763414, 144.93818411601958"
Mixed Use,Bar,"Basement & Rear, 389 Lonsdale Street, Melbourne, 3000","-37.81278386278497, 144.96103223580576"
Mixed Use,Bar,"176 Bellair Street, Kensington, 3031","-37.79363079251513, 144.9300832037398"
Mixed Use,Nightclub,"21-25 Croft Alley, Melbourne, 3000","-37.8120527407846, 144.96912389323862"
Mixed Use,Amusement/Theme Venue,"180 St Kilda Road, Southbank, 3006","-37.82289869795763, 144.9695692957962"
Mixed Use,Amusement/Theme Venue,"Sea Life Melbourne Aquarium, King Street, Melbourne, 3000","-37.8209995658432, 144.95804714265464"
Mixed Use,Multi-use,"2 Clarendon Street, South Wharf, 3006","-37.823627136260576, 144.9560231776494"
Mixed Use,Performance space,"17 Church Street, Parkville, 3052","-37.78783638375116, 144.9416332134173"
Mixed Use,Multi-use,"107 Victoria Harbour Promenade, Docklands, 3008","-37.819873054704324, 144.94075608935833"
Mixed Use,Bar,"100 St Kilda Road, Southbank, 3006","-37.82150031142338, 144.96900573614997"
Mixed Use,,"Casino, 8 Whiteman Street, Southbank, 3006","-37.8237160520609, 144.9573055755779"
Mixed Use,Bar,"Unit S2, Level 1, 252 Swanston Street, Melbourne, 3000","-37.812105299613584, 144.9651302795867"
Mixed Use,Bar,"Level 2 & Roof, 401 Swanston Street, Melbourne, 3000","-37.809036429996624, 144.96337709793107"
Mixed Use,Nightclub,"272 City Road, Southbank, 3006","-37.82629052318406, 144.95944606241918"
Mixed Use,Nightclub,"Basement, 20 King Street, Melbourne, 3000","-37.819775804387085, 144.95746975329038"
Mixed Use,Library,"Ground, 207 City Road, Southbank, 3006","-37.8253171546193, 144.96107200523335"
Mixed Use,Nightclub,"The Melbourne Savage Club, 12-16 Bank Place, Melbourne, 3000","-37.81658693170178, 144.96043647413035"
Mixed Use,Nightclub,"Basement, 43-49 Hardware Lane, Melbourne, 3000","-37.81359471929996, 144.96117047987784"
Mixed Use,Bar,"249 Little Lonsdale Street, Melbourne, 3000","-37.81051763850372, 144.9646508376141"
Mixed Use,Performance space,"161 Harbour Esplanade, Docklands, 3008","-37.81596806067532, 144.94497289363386"
Mixed Use,Performance space,"Rod Laver Arena, Melbourne Park, 200 Batman Avenue, Melbourne, 3004","-37.82258727739611, 144.97777394537906"
Mixed Use,Multi-use,"Level 1, 225 Bourke Street, Melbourne, 3000","-37.81328852220956, 144.96695028225128"
Mixed Use,Bar,"Gnd & Flr1, 14 Corrs Lane, Melbourne, 3000","-37.811235398938436, 144.9683349834688"
Mixed Use,Bar,"2 Driver Lane, Melbourne, 3000","-37.81282106809502, 144.96298868379125"
Mixed Use,Nightclub,"Ground, 160-162 Lygon Street, Carlton, 3053","-37.80345202353251, 144.9666383380664"
Mixed Use,Bar,"13 Heffernan Lane, Melbourne, 3000","-37.811773258347344, 144.9666888906996"
Mixed Use,Bar,"113 Lonsdale Street, Melbourne, 3000","-37.81046224853603, 144.96895746044424"
Mixed Use,bar,"120 Exhibition Street, Melbourne, 3000","-37.81285332078208, 144.97110417388942"
Mixed Use,Bar,"2 Flinders Walk, Melbourne, 3000","-37.81890972470938, 144.96679263372738"
Mixed Use,Bar,"237 Lonsdale Street, Melbourne, 3000","-37.81150165387338, 144.9654399624449"
Mixed Use,Recording,"Gnd & Levels 1 -3, 120 King Street, Melbourne, 3000","-37.81726158549317, 144.95622460343756"
Mixed Use,Venue,"Basement, 103 Flinders Lane, Melbourne, 3000","-37.815376525088666, 144.97089701596647"
Mixed Use,Multi-use,"Carpark, 100 St Kilda Road, Southbank, 3006","-37.82144364943292, 144.9688880032937"
Mixed Use,Nightclub,"Level 1, 163-165 Russell Street, Melbourne, 3000","-37.81248788571263, 144.9677712185572"
Mixed Use,Bar,"27-29 Tattersalls Lane, Melbourne, 3000","-37.8117627149045, 144.9654889438025"
Mixed Use,Theatre,"184-192 Collins Street, Melbourne, 3000","-37.81509631361538, 144.96731018907587"
Mixed Use,Bar,"Shop 2, 47-55 Little Bourke Street, Melbourne, 3000","-37.8108890793276, 144.97103359901016"
Mixed Use,Recording,"Suite 1, Ground, 135 Sturt Street, Southbank, 3006","-37.827341922099656, 144.96636533745024"
Mixed Use,Nightclub,"Ground, 20-24 Bond Street, Melbourne, 3000","-37.818180434552545, 144.96282893879925"
Mixed Use,Nightclub,"LwrGround, 25 Bank Place, Melbourne, 3000","-37.81630543173182, 144.9602164244812"
Mixed Use,Nightclub,"54-60 King Street, Melbourne, 3000","-37.81895269154036, 144.95708651070385"
Mixed Use,Bar,"171 Elgin Street, Carlton, 3053","-37.797432725686676, 144.96879689682868"
Mixed Use,Venue,"Berth 10, Victoria Harbour, Docklands, 3008","-37.817380564148905, 144.9423023877635"
Mixed Use,Nightclub,"8 Whiteman Street, Southbank, 3006","-37.82248526641422, 144.96005414679885"
Mixed Use,Bar,"Basement, 55 Elizabeth Street, Melbourne, 3000","-37.81697659904653, 144.96422322338523"
Mixed Use,Bar,"Shop 311, Level 3, 300 Lonsdale Street, Melbourne, 3000","-37.81016156449148, 144.96340822349765"
Mixed Use,Bar,"Shop 10, Campbell Arcade, Melbourne, 3000","-37.81780039372033, 144.96608291162394"
Mixed Use,Performance space,"Basement, 24 Block Place, Melbourne, 3000","-37.815398812509436, 144.96439685314675"
Mixed Use,Bar,"Ground, 19-23 Meyers Place, Melbourne, 3000","-37.81212244439291, 144.97221043633814"
Mixed Use,Bar,"Shop 4, 4 Riverside Quay, Southbank, 3006","-37.82109278417599, 144.96374450927075"
Mixed Use,Theatre,"199-219 Exhibition Street, Melbourne, 3000","-37.81089990679512, 144.96984175787586"
,,,
Mixed Use,,"33 Block Place, Melbourne, 3000","-37.81530880548056, 144.96431671833355"
Mixed Use,Bar,"Unit S15, Level 7, 252 Swanston Street, Melbourne, 3000","-37.81197919475205, 144.96513374198747"
Mixed Use,Nightclub,"188-200 King Street, Melbourne, 3000","-37.815558987309416, 144.95553316188418"
Mixed Use,,"Unit 20, Basement, 35 Elizabeth Street, Melbourne, 3000","-37.817391733040644, 144.96433989015495"
Mixed Use,Bar,"233 Lonsdale Street, Melbourne, 3000","-37.81146925497217, 144.9655499214504"
Mixed Use,,"Gnd & Bmt, 2 Drewery Place, Melbourne, 3000","-37.81119498448426, 144.9640484516178"
Mixed Use,,"Basement, 334-342 City Road, Southbank, 3006","-37.82794971778835, 144.95742336165304"
Mixed Use,Venue,"Gnd & Level 1, 14 Raglan Street, North Melbourne, 3051","-37.80432381180095, 144.95011526791205"
Mixed Use,Bar,"2 Lygon Street, Carlton, 3053","-37.80683784363076, 144.96605581842582"
Mixed Use,Multi-use,"Basement, 2-6 Parliament Place, East Melbourne, 3002","-37.81168447518055, 144.97552005641302"
Mixed Use,,"508-514 Flinders Street, Melbourne, 3000","-37.820280653979886, 144.95723615975294"
Mixed Use,Multi-use,"225 King Street, Melbourne, 3000","-37.81498068947084, 144.95490184835984"
Mixed Use,Nightclub,"Shop 53, Level 2, 8 Whiteman Street, Southbank, 3006","-37.823635015853306, 144.95781296125432"
Mixed Use,Nightclub,"LwrGround, 121-131 Collins Street, Melbourne, 3000","-37.81548538501546, 144.96956538490497"
Mixed Use,Bar,"Basement & LwrGround, 45 Flinders Lane, Melbourne, 3000","-37.81476781579968, 144.97298148815318"
Mixed Use,Venue,"Level 1, 26 Errol Street, North Melbourne, 3051","-37.80449837044193, 144.94954077158977"
Mixed Use,Performance space,"Alexandra Avenue, Melbourne, 3004","-37.82080257920049, 144.97185569304133"
Mixed Use,Bar,"Level 1, 7-9 Waratah Place, Melbourne, 3000","-37.811626300807845, 144.96709845288777"
Mixed Use,Multi-use,"Building 8, RMIT University, 360 Swanston Street, Melbourne, 3000","-37.80877875813838, 144.96362521955905"
Mixed Use,Venue,"Unit S3-S4, Level 2, 252 Swanston Street, Melbourne, 3000","-37.81204362060309, 144.96521148704275"
Mixed Use,Bar,"Ground, 1 Southbank Boulevard, Southbank, 3006","-37.820988535980156, 144.9625166793894"
Mixed Use,Theatre,"163-181 Spring Street, Melbourne, 3000","-37.810683700820334, 144.97255452673397"
Mixed Use,Performance space,"Melbourne Recital Centre, 31 Sturt Street, Southbank, 3006","-37.82430328303502, 144.9672846102551"
Mixed Use,Performance space,"Elliott Avenue, Parkville, 3052","-37.78535415162557, 144.9531734126854"
Mixed Use,Venue,"488 Swanston Street, Carlton, 3053","-37.805459370954416, 144.96327549662402"
Mixed Use,Bar,"Ground, 4 Riverside Quay, Southbank, 3006","-37.821090034747975, 144.96358553751085"
